economy,series,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
BDI,NY.GDP.PCAP.CD,234.2355389,249.5779794,252.3624696,256.9736979,274.8578362,305.5111441,251.6514772,250.5146007,238.0343096,223.8628757,233.8375103
BDI,SE.ADT.LITR.ZS,,,,,61.51348877,,,68.37532806,,,
BDI,SM.POP.REFG,29364,35658,41811,45487,52931,53356,57462,62353,71501,78465,75461
BDI,SM.POP.REFG.OR,84053,101282,73354,72636,72477,292750,408066,439320,387850,380900,372951
BDI,SP.DYN.LE00.IN,57.228,57.925,58.568,59.148,59.665,60.123,60.528,60.898,61.247,61.584,61.916
BEL,DT.ODA.ODAT.CD,,,,,,,,,,,
BEL,NY.GDP.PCAP.CD,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47549.20805,46599.11134,45189.3669
BEL,SE.ADT.LITR.ZS,,,,,,,,,,,
BEL,SM.POP.REFG,17891,22396,22023,25617,29170,35302,42158,42158,42158,61662,64973
BEL,SM.POP.REFG.OR,80,88,91,76,76,66,44,52,50,34,28
BEL,SP.DYN.LE00.IN,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.79512195
BEN,DT.ODA.ODAT.CD,689270019.5,672609985.4,507709991.5,660200012.2,599320007.3,436549987.8,500760009.8,680000000,574609985.4,593109985.4,1049130005
BEN,NY.GDP.PCAP.CD,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,1291.040972
BEN,SE.ADT.LITR.ZS,,,32.94881821,,,,,,42.36240005,,
BEN,SM.POP.REFG,7136,7213,4960,190,414,526,804,1056,1167,1238,1396
BEN,SM.POP.REFG.OR,438,460,451,294,330,400,479,572,659,721,606
BEN,SP.DYN.LE00.IN,59.318,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,61.771,62.077
BFA,DT.ODA.ODAT.CD,1044619995,981979980.5,1152319946,1045079956,1123359985,998390014.6,1029479980,892150024.4,1186459961,1107729980,1730790039
BFA,NY.GDP.PCAP.CD,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297
BFA,SE.ADT.LITR.ZS,,,,,34.59939957,,,,39.3458519,,
BFA,SM.POP.REFG,530,549,39304,29233,31894,34017,32551,24152,25120,25869,20252
BFA,SM.POP.REFG.OR,1141,1262,1458,1578,1853,2147,2352,2694,11447,11733,15694
BFA,SP.DYN.LE00.IN,57.096,57.761,58.374,58.937,59.45,59.919,60.354,60.768,61.174,61.577,61.981
BGD,DT.ODA.ODAT.CD,1327329956,1437520020,2153909912,2633590088,2422639893,2592909912,2532820068,3781770020,3043300049,4381330078,5373850098
BGD,NY.GDP.PCAP.CD,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1678.95323,1839.583378,1991.483267,2154.226819,2270.347535
